project,project,project_name,project-description_project_name,project_name,Name of the project within which the sequencing was organized,1,1,text,text,
project,project,study_description,project-description_project_description,project_description,Description of the project within which the sequencing was organized,0,0,text,textarea,
project,project,funding,project-description_project_funding,project_funding,Funding source of the project,0,0,text,text,
project,project,contact,administrative-contact_PI_email,PI_email,Administrative contact email,1,0,email,text,
project,project,contact,administrative-contact_PI_firstname,PI_firstname,Administrative contact first name,1,0,text,text,
project,project,contact,administrative-contact_PI_lastname,PI_lastname,Administrative contact last name,1,0,text,text,
project,project,STUDY_CENTER,administrative-contact_PI_organization,PI_organization,Administrative contact organization,1,0,text,Address,
project,project,,administrative-contact_PI_organization_country,PI_organization_country,Administrative contact country,1,0,ontology,OOD_List,
project,project,,administrative-contact_PI_organization_address,PI_organization_address,Administrative contact address,1,0,text,Country,
project,project,url,administrative-contact_PI_organization_url,PI_organization_url,Administrative contact organization url,0,0,url,URL,
project,project,,technical-contact_email,email,Technical contact email,0,0,email,text,
project,project,,technical-contact_firstname,firstname,Technical contact first name,0,0,text,text,
project,project,,technical-contact_lastname,lastname,Technical contact last name,0,0,text,text,
project,project,,technical-contact_organization,organization,Technical contact organization,0,0,text,OOD_List,
project,project,,technical-contact_organization_country,organization_country,Technical contact country,0,0,ontology,Country,
project,project,,technical-contact_organization_address,organization_address,Technical contact address,0,0,text,Address,
project,project,,technical-contact_organization_url,organization_url,Technical contact organization url,0,0,url,URL,
project,project,,,submitted_to_insdc,"Depending on the study (large-scale e.g. done with next generation sequencing technology, or small-scale) sequences have to be submitted to SRA (Sequence Read Archive), DRA (DDBJ Read Archive) or via the classical Webin/Sequin systems to Genbank, ENA and DDBJ",0,1,boolean,boolean,
project,project,,,mgrast_id,MG-RAST Project ID,0,0,text,text,
project,project,study_id,id,qiime_id,External QIIME Project ID,0,0,text,text,
project,project,project_code,,vamps_id,External VAMPS Project code,0,0,text,text,
project,project,PROJECT_ID,external-ids_project_id,ncbi_id,External NCBI Project ID,0,0,text,text,
